signal_id,r_ind,r_mean,r_variance,r_std,r_skewness,r_energy,d_ind,d_mean,d_variance,d_std,d_skewness,d_energy
sound_0,40,1.4375077156775381e-05,7.754670466599337e-09,8.806060678078102e-05,1.7028302886484946e-05,1.1941969964793871e-07,8472,1.3566610253315271e-05,3.608023307361992e-10,1.8994797464995492e-05,1.9260807936922579e-07,8.172828667523374e-09
sound_0,41,-1.4735744608140832e-05,6.648346220487384e-09,8.153739154821783e-05,-5.677970674741524e-05,1.0298232584465604e-07,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,42,-1.4965396292512903e-05,6.212966166624141e-09,7.882237097819464e-05,-3.71224077245541e-05,9.65539387922415e-08,7228,-1.1004323532050973e-05,3.93889815552623e-10,1.984665754107283e-05,-3.733219282436862e-07,7.72477427926011e-09
sound_0,43,-3.358168625658711e-05,3.4596928452195873e-09,5.881915372750264e-05,-1.973479663549654e-05,6.881133745583157e-08,8362,-1.536488763547736e-05,4.2699085020649065e-10,2.0663756923814475e-05,-1.8121294159926702e-06,9.946059333860035e-09
sound_0,44,-7.73562589861018e-06,4.851853967490294e-09,6.965525082497582e-05,1.0095338414519536e-05,7.367540813300315e-08,2780,-7.525512496358146e-06,1.1252239815151497e-09,3.3544358415613645e-05,2.94726426865136e-07,1.7727859797719887e-08
sound_0,45,-5.077296737021062e-05,4.0442189451319e-09,6.359417383009154e-05,-2.453147334531953e-05,9.933169741062559e-08,8362,-1.536488763547736e-05,4.2699085020649065e-10,2.0663756923814475e-05,-1.8121294159926702e-06,9.946059333860035e-09
sound_0,46,1.606029739784771e-05,4.665276584736681e-09,6.830282999068692e-05,2.2113427843255903e-05,7.384814605865992e-08,2803,1.0520359787592449e-05,3.5915144083951455e-10,1.895129127103255e-05,7.620968343832572e-07,7.047441163498601e-09
sound_0,47,2.7122031781125578e-05,5.535759491125707e-09,7.44026847037505e-05,2.5187188765045445e-06,9.407046148593139e-08,2784,2.0932362257619164e-05,2.682669621026338e-09,5.179449411883794e-05,2.0799849566628024e-05,4.6812501160658056e-08
sound_0,48,1.1327819931420857e-05,1.5600825487623178e-09,3.949788030720532e-05,7.501247104713797e-06,2.5326030797415207e-08,192,9.680360105120751e-06,1.995839389509328e-10,1.412741798599209e-05,1.8472164015521672e-07,4.399399660736194e-09
sound_0,49,-2.234917741392973e-05,3.1925275519992935e-09,5.650245615899625e-05,-1.735581007594884e-05,5.538019924617901e-08,5599,-1.4156096635672322e-05,2.1566055280174894e-10,1.4685385687878576e-05,-1.592680535310682e-07,6.240834371403633e-09
sound_0,50,8.559267457518984e-06,1.792972106076803e-09,4.2343501344088244e-05,5.835839615742147e-06,2.7993497482292193e-08,5705,9.2875453895329e-06,2.7758117808513346e-10,1.6660767631929013e-05,6.063278682392262e-08,5.45759516171651e-09
sound_0,51,-2.1840294466911413e-05,2.6908830589223223e-09,5.187372223893638e-05,-2.361627945915544e-06,4.7518222819855856e-08,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,52,-2.0806917642264164e-05,8.705321378410826e-10,2.9504781609784583e-05,-1.8310890503728707e-06,1.9551899394195693e-08,7256,-1.0308963664206492e-05,2.8690271233481885e-10,1.6938202748072738e-05,-1.7049431467618637e-07,5.89766166247123e-09
sound_0,53,-1.2948589703321546e-06,7.883837898127774e-10,2.807817283607994e-05,-7.978532632843247e-07,1.1850906743487404e-08,5619,-1.4279216400979698e-06,2.1875743609469742e-10,1.4790450841495583e-05,-2.063285696211331e-07,3.311945944574362e-09
sound_0,54,5.405801185298247e-05,4.794049514334985e-09,6.923907505401112e-05,2.7339218407794776e-05,1.1574477239748265e-07,5543,3.956422690900127e-05,2.945711242172309e-09,5.427440687996792e-05,6.6855968908674925e-06,6.766558939618873e-08
sound_0,55,-6.495342580761586e-05,2.9449742425584977e-08,0.00017160927255129596,-0.0013467726895386022,5.050303492459564e-07,3138,-2.6684316176269666e-05,3.1909937592987255e-09,5.648888173170651e-05,-2.2540462319210585e-05,5.8545697336407803e-08
sound_0,56,4.348104977485408e-05,1.2640944434371668e-08,0.00011243195468536366,7.322610701267011e-05,2.1797319185842514e-07,7109,2.0775950403180387e-05,2.5246567742096257e-09,5.024596276527723e-05,9.807635329402387e-06,4.4344453340475566e-08
sound_0,57,-3.021625016207411e-06,2.5195438727287235e-09,5.0195058250078e-05,-1.1276444271866972e-05,3.7930111357009414e-08,1671,-2.813270066043329e-06,2.9965190979171424e-10,1.7310456660403684e-05,-3.504607722676582e-08,4.613495973843145e-09
sound_0,58,-8.361570467619942e-06,7.2813388368314224e-09,8.533076137496619e-05,-1.855258114326684e-05,1.1026882046274592e-07,1653,-1.0202042935969003e-05,3.8791814856982206e-10,1.9695637805611223e-05,-1.1603926070865072e-06,7.379997429557656e-09
sound_0,59,8.912188743934371e-07,2.4392996961056196e-09,4.938926701324509e-05,3.5645351693940655e-06,3.6601409507815415e-08,1742,5.044692966632534e-07,2.845515197107798e-10,1.686865494669862e-05,6.227119823617834e-07,4.272090134730836e-09
sound_0,60,-1.8556087048376465e-05,2.3790995530181038e-09,4.877601411573217e-05,-8.590709291414013e-06,4.085141879347543e-08,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,61,-3.934317090575857e-05,1.7228195110298758e-09,4.1506861011522854e-05,-4.1557095756580374e-06,4.9060569119244064e-08,5599,-1.4156096635672322e-05,2.1566055280174894e-10,1.4685385687878576e-05,-1.592680535310682e-07,6.240834371403633e-09
sound_0,62,-2.2650696378567568e-05,5.1515569945141694e-09,7.177434774704796e-05,-2.05882175247738e-05,8.496916561422334e-08,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,63,4.532231222851748e-05,2.8668660929348503e-08,0.0001693182238548128,-0.0008366007766126588,4.608415937263158e-07,5543,3.956422690900127e-05,2.945711242172309e-09,5.427440687996792e-05,6.6855968908674925e-06,6.766558939618873e-08
sound_0,64,4.355532463298975e-05,3.411133223541483e-07,0.0005840490752960305,-0.01187298796436892,5.145155829870501e-06,383,4.5517866176418105e-05,2.1330263651726913e-08,0.00014604883995337627,0.0008926721823804324,3.510320968947184e-07
sound_0,65,2.2816313538323136e-05,7.787661209612498e-09,8.824772637078249e-05,-8.307312798063322e-05,1.2462368059637347e-07,7089,1.8229825306846407e-05,2.5531480484127275e-09,5.0528685401588744e-05,1.251278638852631e-05,4.3282118686962965e-08
